date,division,district,rain_mm,temp_mean_c,temp_max_c,humidity_pct
2021-06-06,Khulna,Khulna,13.17,29.87,32.85,86.19
2021-06-06,Dhaka,Kishoreganj,23.02,28.91,31.76,90.46
2021-06-06,Rangpur,Kurigram,32.49,29.09,32.42,84.53
2021-06-06,Khulna,Kushtia,7.1,30.41,34.79,78.62
2021-06-06,Chattogram,Lakshmipur,39.1,29.37,31.79,89.28
2021-06-06,Rangpur,Lalmonirhat,27.95,29.32,33.34,83.02
2021-06-06,Dhaka,Madaripur,28.82,29.49,32.57,88.27
2021-06-06,Khulna,Magura,18.24,29.47,32.59,86.24
2021-06-06,Dhaka,Manikganj,34.22,29.11,31.79,89.22
2021-06-06,Khulna,Meherpur,7.1,30.41,34.79,78.62
2021-06-06,Sylhet,Moulvibazar,21.15,28.32,31.12,91.48
2021-06-06,Dhaka,Munshiganj,42.06,29.31,31.99,89.25
2021-06-06,Mymensingh,Mymensingh,41.36,28.95,31.87,90.06
2021-06-06,Rajshahi,Naogaon,8.26,30.17,34.75,78.45
2021-06-06,Khulna,Narail,17.14,29.65,33.1,86.49
2021-06-06,Dhaka,Narayanganj,42.06,29.31,31.99,89.25
2021-06-06,Dhaka,Narsingdi,40.19,29.1,31.74,89.92
2021-06-06,Rajshahi,Natore,17.13,29.6,32.95,84.47
2021-06-06,Mymensingh,Netrokona,36.48,28.47,31.4,90.68
2021-06-06,Rangpur,Nilphamari,15.81,29.49,34.09,79.04
2021-06-06,Chattogram,Noakhali,42.44,29.64,30.63,88.13
2021-06-06,Rajshahi,Pabna,17.18,29.43,32.59,86.0
2021-06-06,Rangpur,Panchagarh,22.53,28.95,33.21,79.0
2021-06-06,Barishal,Patuakhali,27.45,29.68,30.49,89.28
2021-06-06,Barishal,Pirojpur,23.22,29.68,32.48,87.66
2021-06-06,Dhaka,Rajbari,18.24,29.47,32.59,86.24
2021-06-06,Rajshahi,Rajshahi,6.13,30.44,34.79,78.18
2021-06-06,Chattogram,Rangamati,36.52,26.53,29.72,89.94
2021-06-06,Rangpur,Rangpur,24.06,29.64,33.53,82.26
2021-06-06,Khulna,Satkhira,13.17,29.87,32.85,86.19
2021-06-06,Dhaka,Shariatpur,39.1,29.37,31.79,89.28
2021-06-06,Mymensingh,Sherpur,32.57,29.04,31.89,88.31
2021-06-06,Rajshahi,Sirajganj,17.13,29.6,32.95,84.47
2021-06-06,Sylhet,Sunamganj,25.05,28.31,31.52,91.23
2021-06-06,Sylhet,Sylhet,23.76,27.9,31.05,92.04
2021-06-06,Dhaka,Tangail,33.96,29.15,32.13,88.18
2021-06-06,Rangpur,Thakurgaon,6.4,29.86,34.86,75.87
2021-06-07,Khulna,Bagerhat,35.74,29.19,31.65,88.16
2021-06-07,Chattogram,Bandarban,28.08,26.51,29.96,89.87
2021-06-07,Barishal,Barguna,33.99,29.37,30.79,88.2
2021-06-07,Barishal,Barishal,39.42,29.01,31.39,88.98
2021-06-07,Barishal,Bhola,40.13,29.13,31.21,88.64
2021-06-07,Rajshahi,Bogura,8.35,30.41,34.95,81.82
