date,division,district,admissions,source,is_estimated
2022-07-02,Dhaka,Munshiganj,0.0,dghs_pdf,False
2022-07-02,Dhaka,Narayanganj,0.0,dghs_pdf,False
2022-07-02,Dhaka,Narsingdi,0.0,dghs_pdf,False
2022-07-02,Dhaka,Rajbari,0.0,dghs_pdf,False
2022-07-02,Dhaka,Shariatpur,0.0,dghs_pdf,False
2022-07-02,Dhaka,Tangail,0.0,dghs_pdf,False
2022-07-02,Khulna,Bagerhat,0.0,dghs_pdf,False
2022-07-02,Khulna,Chuadanga,0.0,dghs_pdf,False
2022-07-02,Khulna,Jashore,1.0,dghs_pdf,False
2022-07-02,Khulna,Jhenaidah,0.0,dghs_pdf,False
2022-07-02,Khulna,Khulna,0.0,dghs_pdf,False
2022-07-02,Khulna,Kushtia,0.0,dghs_pdf,False
2022-07-02,Khulna,Magura,0.0,dghs_pdf,False
2022-07-02,Khulna,Meherpur,0.0,dghs_pdf,False
2022-07-02,Khulna,Narail,0.0,dghs_pdf,False
2022-07-02,Khulna,Satkhira,0.0,dghs_pdf,False
2022-07-02,Mymensingh,Jamalpur,0.0,dghs_pdf,False
2022-07-02,Mymensingh,Mymensingh,0.0,dghs_pdf,False
2022-07-02,Mymensingh,Netrokona,0.0,dghs_pdf,False
2022-07-02,Mymensingh,Sherpur,0.0,dghs_pdf,False
2022-07-02,Rajshahi,Bogura,0.0,dghs_pdf,False
2022-07-02,Rajshahi,Chapai Nawabganj,0.0,dghs_pdf,False
2022-07-02,Rajshahi,Joypurhat,0.0,dghs_pdf,False
2022-07-02,Rajshahi,Naogaon,0.0,dghs_pdf,False
2022-07-02,Rajshahi,Natore,0.0,dghs_pdf,False
2022-07-02,Rajshahi,Pabna,0.0,dghs_pdf,False
2022-07-02,Rajshahi,Rajshahi,0.0,dghs_pdf,False
2022-07-02,Rajshahi,Sirajganj,0.0,dghs_pdf,False
2022-07-02,Rangpur,Dinajpur,0.0,dghs_pdf,False
2022-07-02,Rangpur,Gaibandha,0.0,dghs_pdf,False
2022-07-02,Rangpur,Kurigram,0.0,dghs_pdf,False
2022-07-02,Rangpur,Lalmonirhat,0.0,dghs_pdf,False
