date,district,division,admissions_est,division_admissions_observed,share_within_division,source,disaggregation_method
2019-11-13,Pirojpur,Barishal,2.37,18,0.131668,kaggle_shampabanik12,population_share_within_division
2019-11-13,Bandarban,Chattogram,0.4927,34,0.01449,kaggle_shampabanik12,population_share_within_division
2019-11-13,Brahmanbaria,Chattogram,3.386,34,0.099588,kaggle_shampabanik12,population_share_within_division
2019-11-13,Chandpur,Chattogram,2.6991,34,0.079384,kaggle_shampabanik12,population_share_within_division
2019-11-13,Chattogram,Chattogram,9.3898,34,0.276169,kaggle_shampabanik12,population_share_within_division
2019-11-13,Cox's Bazar,Chattogram,2.8911,34,0.085032,kaggle_shampabanik12,population_share_within_division
2019-11-13,Cumilla,Chattogram,6.3615,34,0.187102,kaggle_shampabanik12,population_share_within_division
2019-11-13,Feni,Chattogram,1.6885,34,0.049662,kaggle_shampabanik12,population_share_within_division
2019-11-13,Khagrachhari,Chattogram,0.7313,34,0.021508,kaggle_shampabanik12,population_share_within_division
2019-11-13,Lakshmipur,Chattogram,1.9847,34,0.058373,kaggle_shampabanik12,population_share_within_division
2019-11-13,Noakhali,Chattogram,3.7123,34,0.109187,kaggle_shampabanik12,population_share_within_division
2019-11-13,Rangamati,Chattogram,0.6631,34,0.019504,kaggle_shampabanik12,population_share_within_division
2019-11-13,Dhaka,Dhaka,26.3264,79,0.333245,kaggle_shampabanik12,population_share_within_division
2019-11-13,Faridpur,Dhaka,3.8644,79,0.048916,kaggle_shampabanik12,population_share_within_division
2019-11-13,Gazipur,Dhaka,9.4042,79,0.119041,kaggle_shampabanik12,population_share_within_division
2019-11-13,Gopalganj,Dhaka,2.3139,79,0.029289,kaggle_shampabanik12,population_share_within_division
2019-11-13,Kishoreganj,Dhaka,5.8382,79,0.073902,kaggle_shampabanik12,population_share_within_division
2019-11-13,Madaripur,Dhaka,2.3102,79,0.029244,kaggle_shampabanik12,population_share_within_division
2019-11-13,Manikganj,Dhaka,2.7837,79,0.035237,kaggle_shampabanik12,population_share_within_division
2019-11-13,Munshiganj,Dhaka,2.9041,79,0.036761,kaggle_shampabanik12,population_share_within_division
2019-11-13,Narayanganj,Dhaka,6.9844,79,0.08841,kaggle_shampabanik12,population_share_within_division
2019-11-13,Narsingdi,Dhaka,4.6176,79,0.058451,kaggle_shampabanik12,population_share_within_division
2019-11-13,Rajbari,Dhaka,2.1258,79,0.026909,kaggle_shampabanik12,population_share_within_division
2019-11-13,Shariatpur,Dhaka,2.313,79,0.029278,kaggle_shampabanik12,population_share_within_division
2019-11-13,Tangail,Dhaka,7.214,79,0.091316,kaggle_shampabanik12,population_share_within_division
2019-11-13,Bagerhat,Khulna,2.347,25,0.093881,kaggle_shampabanik12,population_share_within_division
2019-11-13,Chuadanga,Khulna,1.7956,25,0.071823,kaggle_shampabanik12,population_share_within_division
2019-11-13,Jashore,Khulna,4.4768,25,0.179073,kaggle_shampabanik12,population_share_within_division
2019-11-13,Jhenaidah,Khulna,2.5773,25,0.10309,kaggle_shampabanik12,population_share_within_division
2019-11-13,Khulna,Khulna,3.8025,25,0.152099,kaggle_shampabanik12,population_share_within_division
2019-11-13,Kushtia,Khulna,3.1278,25,0.125112,kaggle_shampabanik12,population_share_within_division
2019-11-13,Magura,Khulna,1.5032,25,0.060127,kaggle_shampabanik12,population_share_within_division
2019-11-13,Meherpur,Khulna,1.0263,25,0.041052,kaggle_shampabanik12,population_share_within_division
2019-11-13,Narail,Khulna,1.1475,25,0.045901,kaggle_shampabanik12,population_share_within_division
2019-11-13,Satkhira,Khulna,3.196,25,0.127841,kaggle_shampabanik12,population_share_within_division
2019-11-13,Jamalpur,Mymensingh,0.8179,4,0.204469,kaggle_shampabanik12,population_share_within_division
2019-11-13,Mymensingh,Mymensingh,1.9301,4,0.48252,kaggle_shampabanik12,population_share_within_division
2019-11-13,Netrokona,Mymensingh,0.7607,4,0.190165,kaggle_shampabanik12,population_share_within_division
2019-11-13,Sherpur,Mymensingh,0.4914,4,0.122846,kaggle_shampabanik12,population_share_within_division
2019-11-13,Bogura,Rajshahi,0.9174,5,0.183476,kaggle_shampabanik12,population_share_within_division
2019-11-13,Chapai Nawabganj,Rajshahi,0.4509,5,0.090184,kaggle_shampabanik12,population_share_within_division
2019-11-13,Joypurhat,Rajshahi,0.235,5,0.046992,kaggle_shampabanik12,population_share_within_division
2019-11-13,Naogaon,Rajshahi,0.6841,5,0.136814,kaggle_shampabanik12,population_share_within_division
2019-11-13,Natore,Rajshahi,0.4569,5,0.091383,kaggle_shampabanik12,population_share_within_division
2019-11-13,Pabna,Rajshahi,0.7148,5,0.142957,kaggle_shampabanik12,population_share_within_division
2019-11-13,Rajshahi,Rajshahi,0.7161,5,0.143222,kaggle_shampabanik12,population_share_within_division
2019-11-13,Sirajganj,Rajshahi,0.8249,5,0.164973,kaggle_shampabanik12,population_share_within_division
2019-11-13,Dinajpur,Rangpur,0.0,0,0.188249,kaggle_shampabanik12,population_share_within_division
2019-11-13,Gaibandha,Rangpur,0.0,0,0.145491,kaggle_shampabanik12,population_share_within_division
2019-11-13,Kurigram,Rangpur,0.0,0,0.132256,kaggle_shampabanik12,population_share_within_division
2019-11-13,Lalmonirhat,Rangpur,0.0,0,0.081109,kaggle_shampabanik12,population_share_within_division
2019-11-13,Nilphamari,Rangpur,0.0,0,0.118822,kaggle_shampabanik12,population_share_within_division
2019-11-13,Panchagarh,Rangpur,0.0,0,0.066995,kaggle_shampabanik12,population_share_within_division
2019-11-13,Rangpur,Rangpur,0.0,0,0.17998,kaggle_shampabanik12,population_share_within_division
2019-11-13,Thakurgaon,Rangpur,0.0,0,0.087099,kaggle_shampabanik12,population_share_within_division
2019-11-13,Habiganj,Sylhet,0.4275,2,0.213767,kaggle_shampabanik12,population_share_within_division
2019-11-13,Moulvibazar,Sylhet,0.3849,2,0.192431,kaggle_shampabanik12,population_share_within_division
2019-11-13,Sunamganj,Sylhet,0.4885,2,0.244271,kaggle_shampabanik12,population_share_within_division
2019-11-13,Sylhet,Sylhet,0.6991,2,0.349532,kaggle_shampabanik12,population_share_within_division
2019-11-14,Barguna,Barishal,1.4436,13,0.111046,kaggle_shampabanik12,population_share_within_division
2019-11-14,Barishal,Barishal,3.672,13,0.282464,kaggle_shampabanik12,population_share_within_division
2019-11-14,Bhola,Barishal,2.7607,13,0.212362,kaggle_shampabanik12,population_share_within_division
2019-11-14,Jhalokati,Barishal,0.9445,13,0.072654,kaggle_shampabanik12,population_share_within_division
2019-11-14,Patuakhali,Barishal,2.4675,13,0.189806,kaggle_shampabanik12,population_share_within_division
2019-11-14,Pirojpur,Barishal,1.7117,13,0.131668,kaggle_shampabanik12,population_share_within_division
2019-11-14,Bandarban,Chattogram,0.4637,32,0.01449,kaggle_shampabanik12,population_share_within_division
2019-11-14,Brahmanbaria,Chattogram,3.1868,32,0.099588,kaggle_shampabanik12,population_share_within_division
2019-11-14,Chandpur,Chattogram,2.5403,32,0.079384,kaggle_shampabanik12,population_share_within_division
2019-11-14,Chattogram,Chattogram,8.8374,32,0.276169,kaggle_shampabanik12,population_share_within_division
2019-11-14,Cox's Bazar,Chattogram,2.721,32,0.085032,kaggle_shampabanik12,population_share_within_division
2019-11-14,Cumilla,Chattogram,5.9873,32,0.187102,kaggle_shampabanik12,population_share_within_division
2019-11-14,Feni,Chattogram,1.5892,32,0.049662,kaggle_shampabanik12,population_share_within_division
2019-11-14,Khagrachhari,Chattogram,0.6883,32,0.021508,kaggle_shampabanik12,population_share_within_division
2019-11-14,Lakshmipur,Chattogram,1.8679,32,0.058373,kaggle_shampabanik12,population_share_within_division
2019-11-14,Noakhali,Chattogram,3.494,32,0.109187,kaggle_shampabanik12,population_share_within_division
2019-11-14,Rangamati,Chattogram,0.6241,32,0.019504,kaggle_shampabanik12,population_share_within_division
2019-11-14,Dhaka,Dhaka,24.6602,74,0.333245,kaggle_shampabanik12,population_share_within_division
2019-11-14,Faridpur,Dhaka,3.6198,74,0.048916,kaggle_shampabanik12,population_share_within_division
2019-11-14,Gazipur,Dhaka,8.809,74,0.119041,kaggle_shampabanik12,population_share_within_division
2019-11-14,Gopalganj,Dhaka,2.1674,74,0.029289,kaggle_shampabanik12,population_share_within_division
2019-11-14,Kishoreganj,Dhaka,5.4687,74,0.073902,kaggle_shampabanik12,population_share_within_division
2019-11-14,Madaripur,Dhaka,2.164,74,0.029244,kaggle_shampabanik12,population_share_within_division
2019-11-14,Manikganj,Dhaka,2.6075,74,0.035237,kaggle_shampabanik12,population_share_within_division
2019-11-14,Munshiganj,Dhaka,2.7203,74,0.036761,kaggle_shampabanik12,population_share_within_division
2019-11-14,Narayanganj,Dhaka,6.5424,74,0.08841,kaggle_shampabanik12,population_share_within_division
2019-11-14,Narsingdi,Dhaka,4.3254,74,0.058451,kaggle_shampabanik12,population_share_within_division
2019-11-14,Rajbari,Dhaka,1.9913,74,0.026909,kaggle_shampabanik12,population_share_within_division
